source,target,docID,type,sureAlignments,possAlignments,sourceHighlights,targetHighlights,answerSureAlignments1,answerPossAlignments1,answerSourceHighlights1,answerTargetHighlights1
"Hackett and Rossignol did not know each other and Hackett had no connection to Colby , Doyle said .","state police Lt. Timothy Doyle said Hackett and Rossignol did not know each other , and that Hackett had no connection to the college .",news-common:2143,test,18-24 0-6 1-7 2-8 3-9 4-10 5-11 6-12 7-13 9-17 10-18 11-19 12-20 13-21 16-4 17-5 16-3 8-15 ,{},{},{},0-6 1-7 2-8 3-9 4-10 5-11 6-12 7-13 8-15 9-17 10-18 11-19 12-20 13-21 16-4 17-5 18-24 ,14-23 ,{},{}
'' the woman was taken to New Charing Cross Hospital by ambulance and her condition is critical .,"she was taken to Charing Cross Hospital , where she remained critically ill last night .",news-common:723,test,17-15 3-1 4-2 5-3 7-4 8-5 9-6 6-4 16-11 ,{},{},{},3-1 4-2 5-3 7-4 8-5 9-6 17-15 ,2-0 2-9 14-10 16-11 16-12 ,{},{}
there 's also a flaw that results because IE does not implement an appropriate block on a file download dialog box .,the second vulnerability is a result of IE not implementing a block on a file download dialog box .,news-common:1629,test,21-18 14-11 15-12 16-13 17-14 18-15 19-16 20-17 11-9 10-8 8-7 6-5 12-10 ,{},{},{},4-2 6-3 6-5 7-6 8-7 10-8 11-9 12-10 14-11 15-12 16-13 17-14 18-15 19-16 20-17 21-18 ,0-1 1-1 2-1 3-0 ,{},{}
world economic leaders hailed signs of a global revival on Tuesday but agreed it had to be handled with care to prevent any setback .,"Dubai , September 23 : the world economic leaders hailed on Tuesday signs of a global revival but agreed it had to be handled with care to prevent any setback .",news-common:510,test,24-30 11-17 12-18 13-19 14-20 15-21 16-22 17-23 18-24 19-25 20-26 21-27 22-28 23-29 4-12 5-13 6-14 7-15 8-16 0-6 1-7 2-8 3-9 9-10 10-11 ,{},{},{},0-6 1-7 2-8 3-9 4-12 5-13 6-14 7-15 8-16 9-10 10-11 11-17 12-18 13-19 14-20 15-21 16-22 17-23 18-24 19-25 20-26 21-27 22-28 23-29 24-30 ,{},{},{}
"'' the bank requires growth from elsewhere in the economy and needs the economy to rebalance '' , he said in an interview with the Press Association news agency .","the Bank of England '' requires growth from elsewhere in the economy and needs the economy to rebalance '' , he told the Press Association news agency .",news-common:943,test,29-27 3-5 4-6 5-7 6-8 7-9 8-10 9-11 10-12 11-13 12-14 13-15 14-16 15-17 16-18 17-19 18-20 24-22 25-23 26-24 27-25 28-26 1-0 2-1 19-21 0-4 ,{},{},{},0-4 1-0 2-1 3-5 4-6 5-7 6-8 7-9 8-10 9-11 10-12 11-13 12-14 13-15 14-16 15-17 16-18 17-19 18-20 19-21 24-22 25-23 26-24 27-25 28-26 29-27 ,{},{},{}
"nor has it said how many astronauts will be on board , through there reportedly will be between one and three .","nor has it said how many astronauts will be on board , through there reportedly could be as many as three .",news-common:2214,test,21-21 0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-14 20-20 ,{},{},{},0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-14 15-15 16-16 20-20 21-21 ,{},{},{}
"still , Mauresmo has the confidence of having beaten Serena for the first time and also is buoyed by Venus Williams ' upset loss Sunday to Vera Zvonareva .",she has the confidence of having beaten her for the first time and she is buoyed by Venus Williams ' upset loss of two days ago .,news-common:1696,test,28-26 16-14 17-15 18-16 19-17 20-18 21-19 22-20 23-21 3-1 4-2 5-3 6-4 7-5 8-6 10-8 11-9 12-10 13-11 14-12 ,{},{},{},3-1 4-2 5-3 6-4 7-5 8-6 10-8 11-9 12-10 13-11 14-12 16-14 17-15 18-16 19-17 20-18 21-19 22-20 23-21 28-26 ,2-0 2-13 9-7 24-23 24-24 24-25 ,{},{}
"'' they were an inspirational couple , selfless and courageous '' , said the Oscar-winning film director .","he said : '' they were an inspirational couple , selfless and courageous .",news-common:2001,test,17-13 0-3 1-4 2-5 3-6 4-7 5-8 6-9 7-10 8-11 9-12 12-1 ,{},{},{},0-3 1-4 2-5 3-6 4-7 5-8 6-9 7-10 8-11 9-12 12-1 17-13 ,14-0 15-0 16-0 ,{},{}
"'' we make no apologies for finding every legal way possible to protect the American public from further terrorist attacks '' , she said .","'' we make no apologies for finding every legal way possible to protect the American public from further terrorist attack '' , said Barbara Comstock , Justice Department spokeswoman .",news-common:2127,test,24-29 0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-14 15-15 16-16 17-17 18-18 20-20 21-21 23-22 19-19 ,{},{},{},0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-14 15-15 16-16 17-17 18-18 19-19 20-20 21-21 23-22 24-29 ,22-23 22-24 ,{},{}
"Volodymyr Gorbanovsky , deputy general director of the plane 's owners , Mediterranean Airlines , said it appeared to have veered from its flight path because of the fog .","Volodymyr Gorbanovsky , deputy general director of the plane 's owners , Mediterranean Airlines , said initial information indicated it had veered from its flight path because of fog .",news-common:442,test,29-29 0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-14 15-15 20-21 21-22 22-23 23-24 24-25 25-26 26-27 28-28 19-20 ,{},{},{},0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-14 15-15 16-19 17-17 17-18 19-20 20-21 21-22 22-23 23-24 24-25 25-26 26-27 28-28 29-29 ,{},{},{}
