pairID,documentID,segmentID,hitType,source,target,sourceLemmatized,targetLemmatized,jaccardDistance,lengthDifference,sureAlignments,possAlignments,sourceHighlights,targetHighlights,answerSureAlignments,answerPossAlignments,answerSourceHighlights,answerTargetHighlights
urd-WL-78-174262-7455135-4-4,urd-WL-78-174262-7455135,4,real,A lucky person breathed his last while prostrating in the Prophet 's Mosque .,"A fortunate man passed away in the state of Sajdah in The Mosque of Prophet , peace be upon him , in Holy City of Medina .",a lucky person breathe his last while prostrate in the prophet 's mosque .,"a fortunate man pass away in the state of sajdah in the mosque of prophet , peace be upon him , in holy city of medina .",0.7931034482758621,13,13-26 8-5 9-6 2-2 0-0 1-1 10-14 12-12 ,{},{},{},{},{},{},{}
urd-WL-80-174265-7496743-11-1,urd-WL-80-174265-7496743,11,real,Started from book 26 yesterday .,"Yesterday , I got a small chance to recite the Holy Quran and began from the 25th part .",start from book 26 yesterday .,"yesterday , i get a small chance to recite the holy quran and begin from the 25th part .",0.8571428571428572,13,5-18 4-0 0-13 1-14 ,{},{},{},{},{},{},{}
LBC_NEWS_ARB_20060210_195800_675_944.qrtr-7-3,LBC_NEWS_ARB_20060210_195800_675_944.qrtr,7,real,"The proposed and the non-proposed , so we both arrive , with what we represent , we will arrive at a name that is acceptable by both parties .",Proposed and not proposed until we both find a name acceptable to both sides .,"the propose and the non-proposed , so we both arrive , with what we represent , we will arrive at a name that be acceptable by both party .",propose and not propose until we both find a name acceptable to both side .,0.7037037037037037,14,28-14 1-0 2-1 7-5 8-6 20-8 21-9 9-7 27-13 26-12 24-10 ,{},{},{},{},{},{},{}
XIN20020412.0061-4-1,XIN20020412.0061,4,real,"Inside the courtyard of the television station , a reception team of 25 people was formed to attend to those who came to make donations in person .",The TV station also establish a reception group of 25 to receive donors .,"inside the courtyard of the television station , a reception team of 25 people be form to attend to those who come to make donation in person .",the tv station also establish a reception group of 25 to receive donor .,0.7333333333333334,14,27-13 8-5 9-6 11-8 12-9 6-2 4-0 5-1 10-7 15-4 24-12 ,{},{},{},{},{},{},{}
XIN_CMN_20060209.0078-20-4,XIN_CMN_20060209.0078,20,real,China never threatened or threatens or will threaten any countries .,"China has never become a threat to any country in the past or present , and will not become a threat in the future .",china never threaten or threaten or will threaten any country .,"china have never become a threat to any country in the past or present , and will not become a threat in the future .",0.6666666666666667,14,10-24 8-7 9-8 1-2 0-0 2-5 4-20 ,{},{},{},{},{},{},{}
artb_557-2-30,artb_557,2,real,London October 9/XinhuaCouncil of British Muslims denounced today US-led air strikes against Afghanistan .,"London , October 9 ( Xinhua ) - The Muslim Council of Britain declared its opposition to the air strikes carried out today by the US against Afghanistan .",london october 9/xinhuacouncil of british muslim denounce today us-led air strike against afghanistan .,"london , october 9 ( xinhua ) - the muslim council of britain declare it opposition to the air strike carry out today by the u against afghanistan .",0.6774193548387097,15,13-28 11-26 12-27 9-18 10-19 0-0 1-2 7-22 5-9 4-12 3-11 ,{},{},{},{},{},{},{}
groups.google.com_ritaj_3d2ba2725d890f0b_ARB_20060213_102000-26-2,groups.google.com_ritaj_3d2ba2725d890f0b_ARB_20060213_102000,26,real,"From the menu , select Options then recorder then Source then Line-in .","From the top menu , select in sequence : Options , then Recorder , then Source , then Line-in , as shown in the following picture .","from the menu , select option then recorder then source then line-in .","from the top menu , select in sequence : option , then recorder , then source , then line-in , a show in the following picture .",0.42105263157894735,14,12-26 2-3 3-4 4-5 0-0 1-1 6-11 7-12 8-14 9-15 10-17 11-18 5-9 ,{},{},{},{},{},{},{}
ZBN19981119_0059-4-21,ZBN19981119_0059,4,real,Indonesia invaded the Portuguese colony in 1975 and annexed East Timor after several weeks .,"Indonesia intruded into East Timor , a colony of Portugal , in 1975 , and a few weeks later East Timor was merged into the territory of Indonesia .",indonesia invade the portuguese colony in 1975 and annex east timor after several week .,"indonesia intrude into east timor , a colony of portugal , in 1975 , and a few week later east timor be merge into the territory of indonesia .",0.6153846153846154,14,14-28 5-11 6-12 9-3 10-4 13-17 3-9 4-7 0-0 ,{},{},{},{},{},{},{}
artb_036-6-35,artb_036,6,real,"On the other hand , Hammad clarified that the tax on casino tickets , where betting is done , has not been reduced .",Hammad said gambling casino tickets would not be discounted .,"on the other hand , hammad clarify that the tax on casino ticket , where betting be do , have not be reduce .",hammad say gambling casino ticket would not be discount .,0.7391304347826086,14,23-9 11-3 12-4 20-6 21-7 6-1 5-0 22-8 15-2 ,{},{},{},{},{},{},{}
ZBN19981213_0043-7-16,ZBN19981213_0043,7,real,Pfizer is considering running commercials that directly mention the name Viagra .,"Pfizer Company is thinking over whether any other advertisements in which the product 's name , Viagra , is mentioned directly , will be needed .",pfizer be consider run commercial that directly mention the name viagra .,"pfizer company be think over whether any other advertisement in which the product 's name , viagra , be mention directly , will be need .",0.6923076923076923,14,11-25 7-19 6-20 2-3 1-2 10-16 9-14 0-0 4-8 ,{},{},{},{},{},{},{}
