HITId,AssignmentId,WorkerId,source,target,gizaAlignments,sureAlignments,possAlignments,sourceHighlights,targetHighlights
301KG0KX9CLRVPMZ4VK2FBMM2F3H24,3U5NZHP4LR2P9GKYWV0FZ8Q2NPMHP0,A2ZRJMJTE6ID97,"special , sensitive light sensors pick up the telltale glow , he said .",a sensitive light detector then looks for the telltale blue glow .,13-11 2-1 3-2 7-7 8-8 9-10 4-3,unchanged,unchanged,unchanged,unchanged
301KG0KX9CLRVPMZ4VK2FBMM2F42HQ,3HUTX6F6VUN39Q5FYAKTN4FAO1Y2OC,A2NV5CA59IXOAY,"United said the new airline will expand next year to 40 Airbus A320 jets , each seating 156 passengers .","United said it the new airline use 40 jets , each seating 156 passengers .",19-14 13-8 14-9 15-10 16-11 17-12 18-13 2-3 3-4 4-5 0-0 1-1 10-7,0-0 1-1 2-3 3-4 4-5 10-7 13-8 14-9 15-10 16-11 17-12 18-13 19-14,5-6 6-6,7 8 11 12,{}
302OLP89DZ7PJK6NVIZGA2841BPACU,3IKZ72A5B4G5SZHFLQZNSY9U7V8FN4,A2ZRJMJTE6ID97,"Hence , clearance of any suspected item is extremely difficult .",So it is difficult to import anything suspicious .,10-8 9-3 7-2 5-7,5-6 5-7 6-6 6-7 7-2 9-3 10-8,2-5 3-5,unchanged,unchanged
302OLP89DZ7PJK6NVIZGA2841BQCAX,3DUZQ9U6SMOR49VAT1LD9EMMIOMVS2,A34QZDSTKZ3JO9,the exam contains four sections and tests a students knowledge of algebra and geometry as well as probability and statistics .,"the test , in four sections , includes algebra and geometry , along with some questions on probability and statistics .",20-20 17-17 18-18 19-19 11-8 12-9 13-10 3-4 4-5 2-7 1-1 0-0,0-0 1-1 2-7 3-4 4-5 11-8 12-9 13-10 17-17 18-18 19-19 20-20,14-11 14-12 15-11 15-12 16-11 16-12,5 6 7 8 9 10,13 14 15 16
302U8RURJZ1S2C6CV3ZQM0GTLP4VNY,3137ONMDKG57CT0X3B2MKWFXUI6GEE,A4H1NYJVE7C53,"However , along the way , this process has aroused a lot of controversy and undergone many twists and turns .","But great controversy has been stirred up during this process , which has met with one snag after another .",20-19 6-8 7-9 9-5 8-12 13-2 16-1,6-8 7-9 8-3 8-4 9-5 9-6 13-2 20-19,10-1 11-1 12-1 15-15 15-16 15-17 15-18 16-15 16-16 16-17 16-18 17-15 17-16 17-17 17-18 18-15 18-16 18-17 18-18 19-15 19-16 19-17 19-18,unchanged,unchanged
302U8RURJZ1S2C6CV3ZQM0GTLP5NVR,31N2WW6R9RQYOVO537F8JKBO2E6F3D,A4H1NYJVE7C53,The stage appearance was close to life ; the simple but pretty hair ornaments all provided exceptional luster to her .,"The close-to-life makeup , simple and beautiful head decorations make her dazzlingly brilliant .",20-13 4-1 5-1 6-1 13-8 9-4 11-6 15-9,0-0 4-1 5-1 6-1 9-4 11-6 13-8 15-9 20-13,{},1 2 3 7 8 10 12 14 16 17 18 19,2 3 5 7 10 11 12
302U8RURJZ1S2C6CV3ZQM0GTLP5VNZ,33L7PJKHCGYU8XCCA8FTR5Y099ZT8K,A34QZDSTKZ3JO9,"these plans would offer preventive health coverage as well as protection against catastrophic health-care expenses , neither of which is currently available under the government-run program .","the latter would offer preventive health coverage as well as protection against unexpected healthcare expenses , neither of which is currently available under Medicare .",26-24 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 14-14 15-15 16-16 17-17 18-18 19-19 20-20 21-21 22-22 13-13,2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 13-13 14-14 15-15 16-16 17-17 18-18 19-19 20-20 21-21 22-22 24-23 25-23 26-24,{},0 1 12 23,0 1 12
304QEQWKZPKURW58TLBEGWQ8H3XO0F,3SUWZRL0MYD5F0BRRYT0852805FE6O,A34QZDSTKZ3JO9,"It is hoped that economic cooperation will further develop , which can bring fruitful results to both sides .",Let us hope that such cooperative relations will continuously develop and yield rich fruit .,18-14 8-9 3-3 6-7 2-2 5-5 13-13,2-2 3-3 5-5 6-7 8-9 13-13 14-13 18-14,4-5 4-6 5-6 7-8 11-11 12-11,0 1 9 10 15 16 17,0 1 4 10 12
306996CF6WKAFR1HLZASOH9JFWK1BR,33NF62TLXJ2KPVI873YSF4KI673JKP,A2ZRJMJTE6ID97,Authorities should establish and enhance emergency mechanisms .,It is incumbent on the officials to construct and improve emergency means .,7-12 5-10 4-9 0-5 3-8,unchanged,unchanged,1 2 6,0 1 2 3 4 6 7 11
306996CF6WKAFR1HLZASOH9JFWKB11,3E1QT0TDFP94ZJW1GWGPDYWRYRY8IV,A1EQ2HDHF2WWSY,"The death toll now stands at about 140,000 .",The number of dead has reached close to 140 thousand people .,8-11 1-3,0-0 1-1 1-2 1-3 2-1 2-2 2-3 3-4 3-5 4-4 4-5 5-6 5-7 6-6 6-7 7-8 7-9 7-10 8-11,{},unchanged,unchanged
