pairID,instructions,image,hitType,source,target,sourceLemmatized,targetLemmatized,jaccardDistance,lengthDifference,sureAlignments,possAlignments,sourceHighlights,targetHighlights,answerSureAlignments,answerPossAlignments,answerSourceHighlights,answerTargetHighlights
training-00,"For this task, you are given two sentences which are paraphrases of each other. Your task will be to show which parts of the sentence are in correspondence by aligning them on a word-to-word basis.<br/><br/>Click on a square in the grid to turn the square black. This indicates a correspondence between two words.",,training,Chinese enterprises are the biggest foreign investors in Macao .,The biggest foreign investors in Macao are Chinese enterprises .,chinese enterprise be the big foreign investor in macao .,the big foreign investor in macao be chinese enterprise .,0.0,0,9-9 3-0 4-1 5-2 6-3 7-4 8-5 0-7 1-8 ,{},{},{},{},{},{},{}
training-01,"The majority of paraphrases in this project will express similar concepts using different words and phrases. In this case, your task is to mark alignments between words that correspond to each other. Words correspond to each other when they express the same idea or when they can be substitued for each other in their respective sentences.<br/><br/>If you encounter two sentence pairs that are completely unrelated to each other, check the box for Not a paraphrase. If the sentence pairs have approximate but not identical meanings, you should still attempt to mark correspondences.",,training,The summer in the US this year is one of the hottest in history .,"This year , the summer in the United States is one of the most sizzling on record .",the summer in the u this year be one of the hot in history .,"this year , the summer in the united state be one of the most sizzling on record .",0.5263157894736843,3,14-17 0-3 1-4 2-5 3-6 7-9 8-10 9-11 10-12 5-0 6-1 13-16 ,{},{},{},{},{},{},{}
training-02,"From now on, we will display automatic alignments made by a computer on the grid for your convenience. You must make alterations to the machine alignment until it is correct.<br/><br/>Often, you will encounter sentences that are constructed very differently, making it difficult to make word-for-word alignments. In this case, you may use a many-to-many block alignment to mark phrases that correspond to each other. You should always aim to make alignment blocks as small as possible. Only create alignments between the smallest units of corresponding meaning. ",,training,Australia is concerned with the issue of carbon dioxide emissions .,The problem of greenhouse gasses has attracted Australia's attention .,australia be concern with the issue of carbon dioxide emission .,the problem of greenhouse gas have attract australia 's attention .,0.7777777777777778,0,10-10 0-7 5-1 4-0 2-9 6-2 ,{},{},{},{},{},{},{}
training-03,"Words do not have to be be exact synonyms in order to be in correspondance with each other. They only have to convey the same idea. For example, in the following example, <i>lived in</i> should be aligned with <i>were inhabited by</i>, since both of these phrases indicate the same kind of relationship.",,training,Forty percent of the populace lived in the city .,The urban areas were inhabited by 40 % of the population.,forty percent of the populace live in the city .,the urban area be inhabit by 40 % of the population .,0.8235294117647058,2,9-11 2-8 3-9 4-10 1-7 0-6 5-4 8-1 7-0 ,{},{},{},{},{},{},{}
training-04,"Sometimes, one sentence will contain information that is not present in the other sentence. Indicate that words convey new information by clicking on them; this will turn its corresponding row/column pink. Only mark words that convey actual content as new information. Do not mark function words (eg. and, that, for, to), punctuation, connectives (eg. however, therefore) or temporal markers (eg. then) as new information UNLESS they are part of a phrase that conveys content. ",,training,"That is , Princess Kiko , wife of the second son of the Japanese emperor , is pregnant .",Princess Kiko of Japan is expecting a baby .,"that be , princess kiko , wife of the second son of the japanese emperor , be pregnant .",princess kiko of japan be expect a baby .,0.7222222222222222,10,18-8 3-0 4-1 13-3 ,{},{},{},{},{},{},{}
training-05,"There are some phrases across sentences which have very loose correspondence. These may be phrases that have similar, but not identical meanings or phrases that fulfill the same function in the sentence but technically mean different things. In this case, mark the words in question as possible alignments by clicking their corresponding square twice. This will turn the square grey. ",,training,the measures could be taken up by the full Senate as early as Friday .,Ratliff said he hopes to bring the two measures to the full Senate by Friday .,the measure could be take up by the full senate as early a friday .,ratliff say he hop to bring the two measure to the full senate by friday .,0.6666666666666667,1,14-15 7-10 8-11 9-12 13-14 1-8 0-6 4-5 6-13 ,{},{},{},{},{},{},{}
training-06,Some of the sentences you encounter will contain typos (eg. <i>help meet</i> instead of <i>helpmate</i>). You may also encounter sentence pairs with non-identical numbers (eg. 0.7 litres vs. 1.5 litres)  Both of these instances should be marked with possible alignments. ,,training,Eighteen percent of the Australia population is British .,UK people account for 14 % of Australien immigrants .,eighteen percent of the australia population be british .,uk people account for 14 % of australien immigrant .,0.8823529411764706,1,8-9 5-1 7-0 1-5 2-6 ,{},{},{},{},{},{},{}
training-07,"Some of the sentences will refer to specific people, places, organizations or other named entities. Differing titles that refer to the same individual, location or organization should be block-aligned. For example, <i>Barack Obama</i> should be block-aligned with <i>the president of the United States</i>.<br/><br/>If a pronoun (eg. she, him, herself) corresponds with a name or title, mark the correspondance as a possible alignment. ",,training,"It 's known to the external world that after the finance minister resigned , secretary general Masajuro Shiokawa would replace him .",Outsiders widely speculate that the Liberal Party 's secretary general Shiokawa may become finance minister after Kiichi Migazawa 's resignation .,"it 's know to the external world that after the finance minister resign , secretary general masajuro shiokawa would replace him .",outsider widely speculate that the liberal party 's secretary general shiokawa may become finance minister after kiichi migazawa 's resignation .,0.6774193548387097,1,21-20 14-8 15-9 10-13 11-14 17-10 12-19 ,{},{},{},{},{},{},{}
training-08,"Sometimes, you will encounter an idea or named entity that is repeated multiple times in a sentence. In this case, mark one instance of the idea or named entity as a sure alignment, then mark any other instances as possible alignments.",,training,Kinan expressed thanks for a lot of aid provided by China and he praised the country 's generosity .,Kinana appreciated the large amount of support and altruism from China in the past .,kinan express thanks for a lot of aid provide by china and he praise the country 's generosity .,kinana appreciate the large amount of support and altruism from china in the past .,0.8214285714285714,4,18-14 10-10 7-6 13-1 6-5 14-2 ,{},{},{},{},{},{},{}
training-09,Some of the sentence pairs will contain verbs with different tenses (eg. <i>walked</i> vs <i>walk</i> or <i>walked</i> vs. <i>will walk</i>). These verbs should be marked as a possible alignment. ,,training,People can not help heaving a sigh at such frequent accidents with heavy losses of lives .,They will lament at the high frequency and heavy casualties of these accidents.,people can not help heave a sigh at such frequent accident with heavy loss of life .,they will lament at the high frequency and heavy casualty of these accident .,0.8076923076923077,3,16-13 13-9 12-8 9-6 10-12 8-11 14-10 ,{},{},{},{},{},{},{}
