pairID,documentID,segmentID,hitType,source,target,sourceLemmatized,targetLemmatized,jaccardDistance,sureAlignments,possAlignments,sourceHighlights,targetHighlights,answerSureAlignments,answerPossAlignments,answerSourceHighlights,answerTargetHighlights
urd-WL-77-174260-7496706-15-0,urd-WL-77-174260-7496706,15,real,The tent did not have enough space to give them shelter . How could they keep all those things there ?,The tent is too narrow for us . Where will we keep all these goods ?,the tent do not have enough space to give them shelter . how could they keep all those thing there ?,the tent be too narrow for u . where will we keep all these good ?,0.8064516129032258,20-15 0-0 1-1 15-11 16-12 2-2 ,{},{},{},{},{},{},{}
news-C:2058,news-C:2058,,test,"police searched Tanzi 's home near Parma on Wednesday , and prosecutors had sought to interrogate him that day only to find he had left Italy for an undisclosed foreign country .","magistrates searched Tanzi 's home near Parma on Wednesday and tried to question him the same day , only to find he had left Italy for an undisclosed foreign country .","police search tanzi 's home near parma on wednesday , and prosecutor have seek to interrogate him that day only to find he have leave italy for an undisclosed foreign country .","magistrate search tanzi 's home near parma on wednesday and try to question him the same day , only to find he have leave italy for an undisclosed foreign country .",0.2857142857142857,31-30 19-18 20-19 21-20 22-21 23-22 24-23 25-24 26-25 27-26 28-27 29-28 30-29 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 15-12 14-11 16-13 13-10 18-16 ,{},{},{},1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 10-9 14-11 15-12 16-13 17-14 17-15 18-16 19-18 20-19 21-20 22-21 23-22 24-23 25-24 26-25 27-26 28-27 29-28 30-29 31-30 ,0-0 11-0 12-10 13-10 ,{},{}
news-C:1468,news-C:1468,,test,the measures could be taken up by the full Senate as early as Friday .,Ratliff said he hopes to bring the two measures to the full Senate by Friday .,the measure could be take up by the full senate as early a friday .,ratliff say he hop to bring the two measure to the full senate by friday .,0.6666666666666667,14-15 7-10 8-11 9-12 13-14 1-8 0-6 4-5 6-13 ,{},{},{},0-6 1-8 7-10 8-11 9-12 10-13 11-13 12-13 13-14 14-15 ,2-3 2-4 2-5 2-9 3-3 3-4 3-5 3-9 4-3 4-4 4-5 4-9 5-3 5-4 5-5 5-9 6-3 6-4 6-5 6-9 ,{},{}
urd-WL-79-174263-7720209-4-1,urd-WL-79-174263-7720209,4,real,"The temperament of Pakistan 's public is such that the ruler is bad when he is in office and when he is the past ruler , they support him .",The Pakistani people 's mindset is to support the former prime minister and be against Musharraf .,"the temperament of pakistan 's public be such that the ruler be bad when he be in office and when he be the past ruler , they support him .",the pakistani people 's mindset be to support the former prime minister and be against musharraf .,0.8064516129032258,29-16 3-1 5-2 27-7 23-9 22-8 ,{},{},{},{},{},{},{}
news-C:95,news-C:95,,test,but he added that the New York-based actor and producer is '' a private person and does n't care to have his treatment out for public consumption '' .,but he added that De Niro is '' a private person and does n't care to have his treatment out for public consumption '' .,but he add that the new york-based actor and producer be '' a private person and do n't care to have his treatment out for public consumption '' .,but he add that de niro be '' a private person and do n't care to have his treatment out for public consumption '' .,0.24137931034482762,28-24 10-6 11-7 12-8 13-9 14-10 15-11 16-12 17-13 18-14 19-15 20-16 21-17 22-18 23-19 24-20 25-21 26-22 27-23 0-0 1-1 2-2 3-3 ,{},{},{},0-0 1-1 2-2 3-3 10-6 11-7 12-8 13-9 14-10 15-11 16-12 17-13 18-14 19-15 20-16 21-17 22-18 23-19 24-20 25-21 26-22 27-23 28-24 ,4-4 4-5 5-4 5-5 6-4 6-5 7-4 7-5 8-4 8-5 9-4 9-5 ,{},{}
urd-WL-83-174268-7462396-5-3,urd-WL-83-174268-7462396,5,real,It is fate written by God that a person is traveling on a handcart and another one is doing what a horse does .,It is God 's will that a man should sit down in a Tanga while the other man should be pulling it .,it be fate write by god that a person be travel on a handcart and another one be do what a horse do .,it be god 's will that a man should sit down in a tanga while the other man should be pull it .,0.8064516129032258,23-22 0-0 1-1 6-5 7-6 8-7 5-2 ,{},{},{},{},{},{},{}
news-C:659,news-C:659,,test,U.S. corporate bond yield spreads tightened in spotty trading on Friday as Wall Street labored to get back on its feet after the largest power outage ever in North America .,"U.S. stocks rose slightly on feather-light volume on Friday , as Wall Street regrouped after the biggest-ever power outage in North America .",u.s. corporate bond yield spread tighten in spotty trading on friday a wall street labor to get back on it foot after the large power outage ever in north america .,"u.s. stock rise slightly on feather-light volume on friday , a wall street regroup after the biggest-ever power outage in north america .",0.6216216216216216,30-22 27-19 28-20 29-21 11-10 12-11 13-12 9-7 10-8 21-14 22-15 24-17 25-18 0-0 26-16 ,{},{},{},0-0 1-1 2-1 9-7 10-8 11-10 12-11 13-12 21-14 22-15 23-16 24-17 25-18 26-16 27-19 28-20 29-21 30-22 ,3-2 3-3 3-4 3-5 3-6 4-2 4-3 4-4 4-5 4-6 5-2 5-3 5-4 5-5 5-6 6-2 6-3 6-4 6-5 6-6 7-2 7-3 7-4 7-5 7-6 8-2 8-3 8-4 8-5 8-6 14-13 15-13 16-13 17-13 18-13 19-13 20-13 ,{},{}
news-C:772,news-C:772,,test,the decision unnerved voting officials who already have been warning that they have barely enough time to organize the election before the balloting is scheduled to begin .,the decision unnerved voting officials who already have been warning they have barely enough time to organize the election .,the decision unnerve voting official who already have be warn that they have barely enough time to organize the election before the balloting be schedule to begin .,the decision unnerve voting official who already have be warn they have barely enough time to organize the election .,0.21739130434782605,27-19 0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 11-10 12-11 13-12 14-13 15-14 16-15 17-16 18-17 19-18 ,{},{},{},0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 11-10 12-11 13-12 14-13 15-14 16-15 17-16 18-17 19-18 27-19 ,{},{},{}
XIN20020417.0227-3-5,XIN20020417.0227,3,real,"Except the mixed doubles event , all other individual events witnessed elimination of seeded players .","Except for in mix double games , seed athletes began to be washed out in other games .","except the mixed double event , all other individual event witness elimination of seeded player .","except for in mix double game , seed athlete begin to be wash out in other game .",0.8076923076923077,15-17 2-3 0-0 3-4 13-7 14-8 ,{},{},{},{},{},{},{}
PD20040109.001-9-5,PD20040109.001,9,real,It may well say that the newly elected president will meet the same old problems .,"In other words , what the president-elect has to face will still be the old problems .",it may well say that the newly elect president will meet the same old problem .,"in other word , what the president-elect have to face will still be the old problem .",0.8076923076923077,15-16 13-14 14-15 10-9 8-6 11-13 ,{},{},{},{},{},{},{}
news-C:2746,news-C:2746,,test,"'' the message is : if an individual is thinking of getting a flu shot , they should n't wait .","'' the message to the public is : if you are thinking of getting a flu shot , do n't wait any longer '' , he said .","'' the message be : if an individual be think of get a flu shot , they should n't wait .","'' the message to the public be : if you be think of get a flu shot , do n't wait any long '' , he say .",0.4285714285714286,20-27 8-10 9-11 10-12 11-13 12-14 13-15 14-16 15-17 0-0 1-1 2-2 3-6 4-7 5-8 18-19 19-20 ,{},{},{},0-0 1-1 2-2 3-6 4-7 5-8 8-10 9-11 10-12 11-13 12-14 13-15 14-16 15-17 17-18 17-19 18-18 18-19 19-20 19-21 19-22 ,6-9 7-9 ,{},{}
urd-WL-90-174283-7720336-24-5,urd-WL-90-174283-7720336,24,real,This problem remains a struggle for devotees over what the democracy will be named .,There is also the issue of what would be gained from all of these efforts and sacrifices by those acting in the name of the democracy .,this problem remain a struggle for devotee over what the democracy will be name .,there be also the issue of what would be gain from all of these effort and sacrifice by those act in the name of the democracy .,0.8064516129032258,14-26 9-24 10-25 13-22 1-4 ,{},{},{},{},{},{},{}
news-C:1211,news-C:1211,,test,seven of the nine Democratic presidential candidates were also scheduled to address the forum .,seven of nine Democratic candidates for president also said they would participate in the conference Monday .,seven of the nine democratic presidential candidate be also schedule to address the forum .,seven of nine democratic candidate for president also say they would participate in the conference monday .,0.6521739130434783,14-16 0-0 1-1 3-2 4-3 6-4 5-6 8-7 ,{},{},{},0-0 1-1 3-2 4-3 6-4 8-7 12-13 13-14 14-16 ,5-5 5-6 7-8 7-9 7-10 7-11 7-12 9-8 9-9 9-10 9-11 9-12 10-8 10-9 10-10 10-11 10-12 11-8 11-9 11-10 11-11 11-12 ,{},{}
AFC20030130.0014-3-1,AFC20030130.0014,3,real,The USOC has been doing a poor job and been recently torn by fierce internal bickering .,The US Olympic Committee has not been functioning well with intense internal disputes earlier .,the usoc have be do a poor job and be recently tear by fierce internal bickering .,the u olympic committee have not be function well with intense internal dispute earlier .,0.8076923076923077,16-14 14-11 13-10 7-7 ,{},{},{},{},{},{},{}
news-C:1429,news-C:1429,,test,"under the 1973 Roe vs. Wade ruling , before a fetus could live outside the womb , the abortion decision was left to the woman and her physician .","under the original Roe v. Wade ruling , the abortion decision was left to the woman and her physician before a fetus could live outside the womb .","under the 1973 roe vs. wade ruling , before a fetus could live outside the womb , the abortion decision be leave to the woman and her physician .","under the original roe v. wade ruling , the abortion decision be leave to the woman and her physician before a fetus could live outside the womb .",0.14814814814814814,28-27 16-7 17-8 18-9 19-10 20-11 21-12 22-13 23-14 24-15 25-16 26-17 27-18 8-19 9-20 10-21 11-22 12-23 13-24 14-25 15-26 5-5 6-6 0-0 1-1 3-3 4-4 ,{},{},{},0-0 1-1 3-3 4-4 5-5 6-6 8-19 9-20 10-21 11-22 12-23 13-24 14-25 15-26 16-7 17-8 18-9 19-10 20-11 21-12 22-13 23-14 24-15 25-16 26-17 27-18 28-27 ,2-2 ,{},{}
