pairID,documentID,segmentID,hitType,source,target,sourceLemmatized,targetLemmatized,jaccardDistance,lengthDifference,sureAlignments,possAlignments,sourceHighlights,targetHighlights,answerSureAlignments,answerPossAlignments,answerSourceHighlights,answerTargetHighlights
artb_500-5-14,artb_500,5,HITInput,"And in spite of that , terrorism does not stand the least chance to take place .",He added : `` We have no likelyhood of being targeted by terrorism . '',"and in spite of that , terrorism do not stand the least chance to take place .",he add : `` we have no likelyhood of be target by terrorism . '',0.896551724137931,2,6-12 16-13,,,,,,,
ZBN19981111_0041-8-18,ZBN19981111_0041,8,HITInput,Most forecasts anticipate a further slow down in the economy in the next few months .,It was also widely speculated that economic increases would continue to shrink over the following several months .,most forecast anticipate a further slow down in the economy in the next few month .,it be also widely speculate that economic increase would continue to shrink over the following several month .,0.896551724137931,2,14-16 12-14 11-13 15-17 9-6,,,,,,,
VOM19981230_0700_0515-1-14,VOM19981230_0700_0515,1,HITInput,Disagreement occurred among several key U.S. Republican congressmen over President Clinton 's impeachment trial .,Some important figures of the American Republic Party viewed divergently on the judicial issue of impeaching President Clinton .,disagreement occur among several key u.s. republican congressman over president clinton 's impeachment trial .,some important figure of the american republic party view divergently on the judicial issue of impeach president clinton .,0.896551724137931,4,5-5 12-15 10-17 4-1 13-12 14-18 6-6 9-16,,,,,,,
artb_045-6-24,artb_045,6,HITInput,Anghan is distinguished by the delicacy of her tones and her vocal rhythm .,Angham has excellent voice with fine tones .,anghan be distinguish by the delicacy of her tone and her vocal rhythm .,angham have excellent voice with fine tone .,0.8947368421052632,6,8-6 13-7 11-3,,,,,,,
ZBN19981111_0041-13-43,ZBN19981111_0041,13,HITInput,Asian recovery was still at the early stage .,Asia 's still just beginning to recover from their own crisis .,asian recovery be still at the early stage .,asia 's still just begin to recover from their own crisis .,0.8947368421052632,3,1-6 0-0 3-2 8-11,,,,,,,
cmn-NG-4-76698-7531660-5-1,cmn-NG-4-76698-7531660,5,HITInput,We often meet situations that require groups .,"Every now and then , we encounter occasions where collectivity is needed .",we often meet situation that require group .,"every now and then , we encounter occasion where collectivity be need .",0.8947368421052632,5,5-11 0-5 2-6 7-12,,,,,,,
urd-WL-77-174260-7483866-8-2,urd-WL-77-174260-7483866,8,HITInput,That freedom may be as short lived as 24-48 hours .,"Whether , this independence continues for 24 or 48 hours .",that freedom may be a short live a 24-48 hour .,"whether , this independence continue for 24 or 48 hour .",0.8947368421052632,0,9-9 10-10 8-8 8-6,,,,,,,
chtb_168-8-10,chtb_168,8,HITInput,The 90s witnessed a closer cooperation between the two parties .,"Entering the 1990s , the bilateral co-operation has been going deeper .",the 90 witness a close cooperation between the two party .,"enter the 1990s , the bilateral co-operation have be go deeper .",0.8947368421052632,1,9-9 10-11 0-1 1-2 5-6,,,,,,,
urd-NG-102-174502-11516161-post36-3-2,urd-NG-102-174502-11516161-post36,3,HITInput,This is called the nonchalant plaintiff and the zealous witness !,That 's what we call throwing out a red herring !,this be call the nonchalant plaintiff and the zealous witness !,that 's what we call throw out a red herring !,0.8947368421052632,0,1-1 10-10 2-4,,,,,,,
urd-NG-102-174502-11516161-post36-3-2,urd-NG-102-174502-11516161-post36,3,HITInput,This is called the nonchalant plaintiff and the zealous witness !,That 's what we call throwing out a red herring !,this be call the nonchalant plaintiff and the zealous witness !,that 's what we call throw out a red herring !,0.8947368421052632,0,1-1 10-10 2-4,,,,,,,
artb_045-6-4,artb_045,6,HITInput,Angham is renowned for having a beautiful voice with a great range .,Angham distinguishes due to her intonation and accent .,angham be renowned for have a beautiful voice with a great range .,angham distinguishes due to her intonation and accent .,0.8947368421052632,4,0-0 12-8,,,,,,,
DEW_URD_20090106.0006-5-4,DEW_URD_20090106.0006,5,HITInput,Everything looks fine from the perspective of the official statement .,"All is well , as far as official rhetoric is concerned .",everything look fine from the perspective of the official statement .,"all be well , as far a official rhetoric be concern .",0.8947368421052632,1,2-2 10-11 8-7,,,,,,,
urd-NG-102-174502-11516161-post36-3-4,urd-NG-102-174502-11516161-post36,3,HITInput,This is called 'witness is more efficient than petitioner ' !,That 's what we call throwing out a red herring !,this be call 'witness be more efficient than petitioner ' !,that 's what we call throw out a red herring !,0.8947368421052632,0,1-1 11-10 2-4,,,,,,,
urd-NG-102-174502-11516154-post58-4-4,urd-NG-102-174502-11516154-post58,4,HITInput,This issue can not be resolved with hypocrisy dialogue tricks .,These hypocritical bilateral talks will not solve the problem .,this issue can not be resolve with hypocrisy dialogue trick .,these hypocritical bilateral talk will not solve the problem .,0.8947368421052632,1,1-8 5-6 3-5 10-9 7-1 8-3,,,,,,,
urd-NG-102-174502-11516154-post58-4-4,urd-NG-102-174502-11516154-post58,4,HITInput,This issue can not be resolved with hypocrisy dialogue tricks .,These hypocritical bilateral talks will not solve the problem .,this issue can not be resolve with hypocrisy dialogue trick .,these hypocritical bilateral talk will not solve the problem .,0.8947368421052632,1,1-8 5-6 3-5 10-9 7-1 8-3,,,,,,,
urd-WL-77-174260-11358596-post4-5-4,urd-WL-77-174260-11358596-post4,5,HITInput,Does the end of this is not being awaited in reality ?,Are you waiting for it to take its last breath ?,do the end of this be not be await in reality ?,be you wait for it to take it last breath ?,0.8947368421052632,1,0-0 11-10 8-2,,,,,,,
VOM19981122_0900_1102-5-1,VOM19981122_0900_1102,5,HITInput,"So far , their whereabouts are unknown .","At present , no one knows the where about of these two .","so far , their whereabouts be unknown .","at present , no one know the where about of these two .",0.8947368421052632,5,7-12,,,,,,,
urd-WL-77-174260-11358596-post4-5-4,urd-WL-77-174260-11358596-post4,5,HITInput,Does the end of this is not being awaited in reality ?,Are you waiting for it to take its last breath ?,do the end of this be not be await in reality ?,be you wait for it to take it last breath ?,0.8947368421052632,1,0-0 11-10 8-2,,,,,,,
urd-WL-90-174283-7720336-20-1,urd-WL-90-174283-7720336,20,HITInput,Peoples Party has refused to either accept or decline !,The People 's Party is rejecting both the rejection and the contribution .,people party have refuse to either accept or decline !,the people 's party be reject both the rejection and the contribution .,0.8947368421052632,3,3-5 1-3 0-1 9-12,,,,,,,
chtb_222-11-27,chtb_222,11,HITInput,Different circles of the society also give him their hands .,He was offered help from all walks of life .,different circle of the society also give him their hand .,he be offer help from all walk of life .,0.8947368421052632,1,10-9 6-2,,,,,,,
XIA20050104.0006-9-2,XIA20050104.0006,9,HITInput,"The death toll now stands at about 140,000 .",The number of dead has reached close to 140 thousand people .,"the death toll now stand at about 140,000 .",the number of dead have reach close to 140 thousand people .,0.8947368421052632,3,1-3 8-11,,,,,,,
chtb_222-11-21,chtb_222,11,HITInput,Many sectors in the society also extended their helping hands .,He was offered help from all walks of life .,many sector in the society also extend their help hand .,he be offer help from all walk of life .,0.8947368421052632,1,10-9 8-3,,,,,,,
DEW_URD_20090106.0006-5-4,DEW_URD_20090106.0006,5,HITInput,Everything looks fine from the perspective of the official statement .,"All is well , as far as official rhetoric is concerned .",everything look fine from the perspective of the official statement .,"all be well , as far a official rhetoric be concern .",0.8947368421052632,1,2-2 10-11 8-7,,,,,,,
VOM19981122_0900_1102-8-9,VOM19981122_0900_1102,8,HITInput,The police detained these people to prevent this gathering .,"In light of the forthcoming meeting , the policy made the arrests .",the police detain these people to prevent this gathering .,"in light of the forthcoming meeting , the policy make the arrest .",0.8947368421052632,3,1-8 0-7 2-11 8-5 9-12,,,,,,,
urd-NG-102-174502-11516161-post36-3-4,urd-NG-102-174502-11516161-post36,3,HITInput,This is called 'witness is more efficient than petitioner ' !,That 's what we call throwing out a red herring !,this be call 'witness be more efficient than petitioner ' !,that 's what we call throw out a red herring !,0.8947368421052632,0,1-1 11-10 2-4,,,,,,,
urd-NG-102-174502-11516146-post144-1-5,urd-NG-102-174502-11516146-post144,1,HITInput,We have no knowledge of the personality and the achievements of Pir Samiuallah and of his activities .,"I do n't know what Peer Samiullah was like as a person , nor do I know about his achievements .",we have no knowledge of the personality and the achievement of pir samiuallah and of his activity .,"i do n't know what peer samiullah be like a a person , nor do i know about his achievement .",0.8928571428571429,3,7-13 6-11 9-19 3-3 17-20,,,,,,,
urd-NG-102-174502-11516146-post144-1-5,urd-NG-102-174502-11516146-post144,1,HITInput,We have no knowledge of the personality and the achievements of Pir Samiuallah and of his activities .,"I do n't know what Peer Samiullah was like as a person , nor do I know about his achievements .",we have no knowledge of the personality and the achievement of pir samiuallah and of his activity .,"i do n't know what peer samiullah be like a a person , nor do i know about his achievement .",0.8928571428571429,3,7-13 6-11 9-19 3-3 17-20,,,,,,,
urd-NG-102-174502-11516120-post213-2-1,urd-NG-102-174502-11516120-post213,2,HITInput,"Watching Israel bomb unarmed people , is that not a heart-wrenching experience ?",One can not help shedding tears of blood over the deaths of unarmed civilians in Israeli bombing ?,"watch israel bomb unarmed people , be that not a heart-wrenching experience ?",one can not help shed tear of blood over the death of unarmed civilian in israeli bombing ?,0.8888888888888888,5,1-15 3-12 2-16 12-17,,,,,,,
urd-WL-12-174278-7594553-14-3,urd-WL-12-174278-7594553,14,HITInput,"Initially , you can have urinary problems but after sometime it would become a routine .","In the beginning , for perhaps three days or so , you may feel like urinating three or four times , but later you will return to normal .","initially , you can have urinary problem but after sometime it would become a routine .","in the beginning , for perhaps three day or so , you may feel like urinate three or four time , but later you will return to normal .",0.8888888888888888,13,15-28 14-27 1-10 2-11,,,,,,,
XIN20030131.0066-5-3,XIN20030131.0066,5,HITInput,The numbers symbolized a less than robust spending in festival seasons in America .,This was an obvious sign that consumer spending was not strong during the US hot consumer-spending holiday .,the number symbolize a less than robust spending in festival season in america .,this be an obvious sign that consumer spending be not strong during the u hot consumer-spending holiday .,0.8888888888888888,4,6-10 11-11 12-13 7-15 7-7 13-17 9-16,,,,,,,
ZBN20020321.0004-9-4,ZBN20020321.0004,9,HITInput,"South Korea also has 650,000 armed forces .",There are 650 thousand of soldiers and officers in the South .,"south korea also have 650,000 arm force .",there be 650 thousand of soldier and officer in the south .,0.8888888888888888,4,6-5 0-10 7-11,,,,,,,
HYT_ARB_20070722.0070-36-0,HYT_ARB_20070722.0070,36,HITInput,It is not merely a matter of meeting qualifying conditions .,The issue goes far beyond the conditions for qualification .,it be not merely a matter of meet qualify condition .,the issue go far beyond the condition for qualification .,0.8888888888888888,1,10-9 5-1 9-6,,,,,,,
urd-WL-80-174265-7519426-14-3,urd-WL-80-174265-7519426,14,HITInput,I am not able to quote the ghastly language used over there .,"Such stupid , vulgar and boring things were written about them that I ca n't describe .",i be not able to quote the ghastly language use over there .,"such stupid , vulgar and boring thing be write about them that i ca n't describe .",0.8888888888888888,4,12-16,,,,,,,
urd-WL-12-174278-7594553-4-4,urd-WL-12-174278-7594553,4,HITInput,But there is no harm in cleaning the mouth or brushing the teeth .,Now you can brush and gargle .,but there be no harm in clean the mouth or brush the teeth .,now you can brush and gargle .,0.8888888888888888,7,10-3 13-6,,,,,,,
VOA_URD_20070725.0007-9-4,VOA_URD_20070725.0007,9,HITInput,Young children rarely suffer from allergies caused by changes in weather conditions .,Little boys whose allergies are cused due to the changing of season suffer less than others .,young child rarely suffer from allergy cause by change in weather condition .,little boy whose allergy be cused due to the changing of season suffer less than others .,0.8888888888888888,4,12-16 0-0 5-3 1-1 3-12 8-9 6-6,,,,,,,
VOM19981122_0900_1102-5-31,VOM19981122_0900_1102,5,HITInput,"At present , there is no information about the two men .",So far their whereabouts is still unclear .,"at present , there be no information about the two men .",so far their whereabouts be still unclear .,0.8888888888888888,4,11-7,,,,,,,
groups.google.com_greenpartycn_05a0a5b917a9b705_CMN_20060208_063400-29-3,groups.google.com_greenpartycn_05a0a5b917a9b705_CMN_20060208_063400,29,HITInput,Everyone can understand your difficulties .,"Likewise , we can all empathize with the difficult situation you are in .",everyone can understand your difficulty .,"likewise , we can all empathize with the difficult situation you be in .",0.8888888888888888,8,4-8 5-13,,,,,,,
urd-WL-12-174261-7433643-17-4,urd-WL-12-174261-7433643,17,HITInput,The Punjabi-speaking in my circle pronounce it as Ghinta .,Any Punjabis I am around usually speak in Ghanta .,the punjabi-speaking in my circle pronounce it a ghinta .,any punjabi i be around usually speak in ghanta .,0.8888888888888888,0,9-9 1-1 5-6,,,,,,,
urd-WL-80-174265-7496746-18-4,urd-WL-80-174265-7496746,18,HITInput,High volume sounds of Naats ( poetic lines in praise of Prophet Mohammad ) were going on .,The series of Naat recitations continued in a loud voice over speakers .,high volume sound of naats ( poetic line in praise of prophet mohammad ) be go on .,the series of naat recitation continue in a loud voice over speaker .,0.8888888888888888,5,17-12 4-3 15-5 2-9 0-8 3-2,,,,,,,
VOA_URD_20070725.0007-9-3,VOA_URD_20070725.0007,9,HITInput,Young children rarely suffer from allergies caused by changes in weather conditions .,Little boys whose allergies are cused due to the changing of season suffer less than others .,young child rarely suffer from allergy cause by change in weather condition .,little boy whose allergy be cused due to the changing of season suffer less than others .,0.8888888888888888,4,12-16 0-0 5-3 1-1 3-12 8-9 6-6,,,,,,,
chtb_222-11-20,chtb_222,11,HITInput,Many sectors in the society also extended their helping hands .,Help has been offered from others as well .,many sector in the society also extend their help hand .,help have be offer from others as well .,0.8888888888888888,2,10-8 5-7 8-0,,,,,,,
urd-WL-34-174270-7476673-8-5,urd-WL-34-174270-7476673,8,HITInput,But we see a future for all of us taking a dark and dangerous form .,"Oh , how it happened ! Our future , with its ugly face , stood before us .",but we see a future for all of u take a dark and dangerous form .,"oh , how it happen ! our future , with it ugly face , stand before u .",0.8888888888888888,2,8-16 15-17 4-7,,,,,,,
ZBN19981003_0153-8-15,ZBN19981003_0153,8,HITInput,Hong Kong officials blamed the 150-year British colonial rule for complicating the citizenship status for many Hong Kong residents .,Some Hongkong officials complained that over 150 years of colonization by Great Britain has made it difficult for Hongkong residents to claim their identities .,hong kong official blame the 150-year british colonial rule for complicate the citizenship status for many hong kong resident .,some hongkong official complain that over 150 year of colonization by great britain have make it difficult for hongkong resident to claim their identity .,0.8888888888888888,5,2-2 15-11 5-7 5-6 6-12 19-24 18-19 7-9,,,,,,,
artb_045-6-36,artb_045,6,HITInput,Angham distinguishes due to her intonation and accent .,Angham is blessed with a fine voice of great range .,angham distinguishes due to her intonation and accent .,angham be bless with a fine voice of great range .,0.8888888888888888,2,0-0 8-10,,,,,,,
VOM19981122_0900_1102-5-28,VOM19981122_0900_1102,5,HITInput,No one knows where they are now .,"So far , nothing has been heard of the two men .",no one know where they be now .,"so far , nothing have be hear of the two men .",0.8888888888888888,4,2-6 7-11,,,,,,,
urd-NG-102-174502-11516120-post213-2-1,urd-NG-102-174502-11516120-post213,2,HITInput,"Watching Israel bomb unarmed people , is that not a heart-wrenching experience ?",One can not help shedding tears of blood over the deaths of unarmed civilians in Israeli bombing ?,"watch israel bomb unarmed people , be that not a heart-wrenching experience ?",one can not help shed tear of blood over the death of unarmed civilian in israeli bombing ?,0.8888888888888888,5,1-15 3-12 2-16 12-17,,,,,,,
